Latitude,Longitude,% Yield Anomaly
10.37500000,29.62500000,-83.11701523
10.12500000,29.62500000,-83.11701523
9.87500000,29.62500000,-37.21910885
9.62500000,29.62500000,-38.57985185
9.37500000,29.62500000,-46.31046309
9.12500000,29.62500000,-44.99972407
8.87500000,29.62500000,-54.29797295
8.62500000,29.62500000,-54.43885521
8.37500000,29.62500000,-31.22018776
8.12500000,29.62500000,-30.66201235
7.87500000,29.62500000,-13.48903520
7.62500000,29.62500000,-11.46196556
7.37500000,29.62500000,-49.19360841
7.12500000,29.62500000,-47.14686608
6.87500000,29.62500000,-36.28715910
6.62500000,29.62500000,-36.02342927
6.37500000,29.62500000,-25.28262108
6.12500000,29.62500000,-23.97643835
5.87500000,29.62500000,-8.88440057
5.62500000,29.62500000,-1.14328159
5.37500000,29.62500000,-4.01664829
5.12500000,29.62500000,2.27264906
4.87500000,29.62500000,-0.38755312
4.62500000,29.62500000,18.37082428
4.37500000,29.62500000,1.52986924
4.12500000,29.62500000,0.45430498
3.87500000,29.62500000,-6.12273943
3.62500000,29.62500000,-5.62403543
10.37500000,29.87500000,-83.11701523
10.12500000,29.87500000,-83.11701523
9.87500000,29.87500000,-37.21910885
9.62500000,29.87500000,-38.57985185
9.37500000,29.87500000,-46.31046309
9.12500000,29.87500000,-44.99972407
8.87500000,29.87500000,-54.29797295
8.62500000,29.87500000,-54.43885521
8.37500000,29.87500000,-31.22018776
8.12500000,29.87500000,-30.66201235
7.87500000,29.87500000,-13.48903520
7.62500000,29.87500000,-11.46196556
7.37500000,29.87500000,-49.19360841
7.12500000,29.87500000,-47.14686608
6.87500000,29.87500000,-36.28715910
6.62500000,29.87500000,-36.02342927
6.37500000,29.87500000,-25.28262108
6.12500000,29.87500000,-23.97643835
5.87500000,29.87500000,-8.88440057
5.62500000,29.87500000,-1.14328159
5.37500000,29.87500000,-4.01664829
5.12500000,29.87500000,2.27264906
4.87500000,29.87500000,-0.38755312
4.62500000,29.87500000,18.37082428
4.37500000,29.87500000,1.52986924
4.12500000,29.87500000,0.45430498
3.87500000,29.87500000,-6.12273943
3.62500000,29.87500000,-5.62403543
10.37500000,30.12500000,-49.83588633
10.12500000,30.12500000,-49.83588633
9.87500000,30.12500000,-55.24803093
9.62500000,30.12500000,-56.78688374
9.37500000,30.12500000,-50.48067159
9.12500000,30.12500000,-44.19730224
8.87500000,30.12500000,-56.55160023
8.62500000,30.12500000,-55.74282081
8.37500000,30.12500000,-64.04798168
8.12500000,30.12500000,-63.02415665
7.87500000,30.12500000,-37.86628371
7.62500000,30.12500000,-36.85423659
7.37500000,30.12500000,-10.79182067
7.12500000,30.12500000,-8.03892426
6.87500000,30.12500000,-44.47469545
6.62500000,30.12500000,-35.01403136
6.37500000,30.12500000,-19.26669853
6.12500000,30.12500000,-7.29610451
5.87500000,30.12500000,-4.69831295
5.62500000,30.12500000,5.28259602
5.37500000,30.12500000,18.88496796
5.12500000,30.12500000,37.17297246
4.87500000,30.12500000,21.30491733
4.62500000,30.12500000,26.65150661
4.37500000,30.12500000,8.79760384
4.12500000,30.12500000,3.29613883
3.87500000,30.12500000,7.51017280
3.62500000,30.12500000,5.87910312
10.37500000,30.37500000,-46.79371587
10.12500000,30.37500000,-46.79371587
9.87500000,30.37500000,-56.03639362
9.62500000,30.37500000,-57.11937217
9.37500000,30.37500000,-51.44070366
9.12500000,30.37500000,-45.52753321
8.87500000,30.37500000,-56.81761900
8.62500000,30.37500000,-55.32740739
8.37500000,30.37500000,-64.00354361
8.12500000,30.37500000,-55.56250102
7.87500000,30.37500000,-30.60001229
7.62500000,30.37500000,-29.35871827
7.37500000,30.37500000,-8.08919927
7.12500000,30.37500000,-7.49114215
