datetime,timber_production,cereal_production,rainfall,temperature,latitude,longitude
2018-04-01,1224597,22095397,low,high,14.04493485931837,38.235225299340236
2018-11-01,960471,6625047,low,high,6.110182055618442,43.554816662959404
2018-01-01,1247073,25916221,low,high,10.240642114088747,42.628621774432894
2018-04-01,2152746,22999767,low,high,12.76995771595074,36.46628729663108
2018-04-01,2624834,20678662,low,high,11.705990339793757,37.32141468720963
2018-09-01,1219348,3526327,low,high,6.1663566278903925,41.26379948922623
2018-10-01,1139844,25345353,low,high,7.93344067550437,35.591336760982884
2018-06-01,807839,9429910,low,high,7.2807829382235,39.47097409239119
2018-06-01,1374951,11106022,low,high,8.583056007864663,37.87564294717859
2018-12-01,2642366,3860866,low,high,4.158462450296425,38.01788925309461
2018-05-01,2883196,23317325,low,high,14.055137736305456,39.5231955185167
2018-06-01,1696352,5070318,low,high,9.922680754388109,35.31197109324256
2018-03-01,270035,6609737,low,high,7.90438602919759,36.20806449490927
2018-01-01,2444529,24168660,low,high,5.587518557931089,44.97169213014782
2018-01-01,1550416,20820779,low,high,10.921795576373226,37.27691968659399
2018-03-01,1018860,14792777,low,high,4.283462625836237,42.41972343819356
2018-04-01,1723844,28713210,low,high,12.658676718582957,36.96205511051402
2018-02-01,2150873,28596376,low,high,7.1484261880326985,43.30547532364738
2018-10-01,2070467,4816864,low,high,8.322098902418823,38.31748708453024
2018-08-01,1768148,13533803,low,high,11.054776938342833,37.63071327795387
2018-08-01,1868125,16630651,low,high,8.62237861465376,41.121054623077185
2018-04-01,1446669,16389128,low,high,9.014662217919579,35.6393521008652
2018-05-01,328995,16520006,low,high,11.444144533931365,40.337498208845766
2018-06-01,1949736,5236180,low,high,4.616766606550758,38.476925765770545
2018-12-01,2549431,4774215,low,high,9.879728583329033,37.88478363567826
2018-06-01,2858170,9380978,low,high,9.923629848344135,42.75075695143356
2018-02-01,2642839,4581957,low,high,7.000856310844601,39.027258157074556
2018-04-01,1999937,2837474,low,high,6.4440685420649295,38.93326070433459
2018-07-01,1772390,12451315,low,high,7.71085139939368,42.75849775193367
2018-12-01,829315,2569135,low,high,11.53094220024332,41.16614735590333
2018-04-01,398764,20800175,low,high,9.197423848026613,36.52613799794843
2018-11-01,651807,4976214,low,high,8.287935940781951,39.67712262697739
2018-05-01,1915287,7830447,low,high,10.873516219379407,39.32292732363674
2018-09-01,2235106,2988094,low,high,6.393904383147017,37.28770183166452
2018-04-01,661664,16943962,low,high,10.801755924955723,41.20239393222769
2018-01-01,503018,19818221,low,high,11.666984374586386,36.04381347190951
2018-09-01,2052485,4017038,low,high,7.380458960472401,45.39321746288826
2018-01-01,2921807,10038979,low,high,6.663139267255424,37.778318648718354
2018-11-01,1019239,18538716,low,high,13.531593679003368,39.755194339230535
2018-06-01,1454984,12632909,low,high,9.49856922398204,35.196014649438
2018-09-01,1890951,14803881,low,high,13.846869896226043,36.766282491656426
2018-09-01,994634,18410746,low,high,6.839462491499281,34.87455744105358
2018-09-01,137684,28687252,low,high,8.161645852334793,41.72744037361991
2018-09-01,137124,21490163,low,high,9.034134418957539,41.934958386570415
2018-08-01,234986,11234055,low,high,5.58057849629818,42.4356871788948
2018-06-01,2461968,24722512,low,high,13.128891706012707,39.28718616619868
2018-08-01,960333,11551551,low,high,14.406915291729124,37.68988048113954
